"Plot","Year","Tag.tree","Focal","DBH_mi","G","ARCHCL","CALOWA","ELAEMA","GARCPA","GIRONE","MACABA","OTHERS","PALAOB","PRUNPO","SYZYBO","TIMOWA"
"A2","2011","A2T01","ARCHCL",1.2,-0.0828231292517006,13.0061935858617,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T02","ARCHCL",1.3,-0.0828231292517008,12.8098440450124,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T03","ARCHCL",1.2,0,13.0061935858617,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T06","GARCPA",1.2,0.0828231292517008,14.1371669411541,1.32732289614169,0,84.1711211713045,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T08","ARCHCL",1.2,-0.0828231292517006,13.0061935858617,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T10","SYZYBO",1,0,14.1371669411541,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0,0
"A2","2011","A2T12","GARCPA",3,0,14.1371669411541,1.32732289614169,0,78.2335110560198,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T13","ARCHCL",1.3,-0.0828231292517008,12.8098440450124,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T14","ARCHCL",1.4,-0.0828231292517006,12.5977865408951,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T15","GARCPA",2.2,0,14.1371669411541,1.32732289614169,0,81.5007674157532,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T17","ARCHCL",1.5,-0.165646258503401,12.3700210735098,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T18","ARCHCL",1.2,0,13.0061935858617,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T23","GARCPA",2.8,-0.911054421768707,14.1371669411541,1.32732289614169,0,79.1445729255609,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T26","ARCHCL",1,0,13.3517687777566,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T27","GARCPA",1.4,-0.0828231292517006,14.1371669411541,1.32732289614169,0,83.7627141263379,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T29","CALOWA",1.3,0,14.1371669411541,0,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T31","GARCPA",1.8,0,14.1371669411541,1.32732289614169,0,82.7574044771891,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T33","GARCPA",1,0,14.1371669411541,1.32732289614169,0,84.5166963631994,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T34","GARCPA",1.5,0.0828231292517008,14.1371669411541,1.32732289614169,0,83.5349486589526,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T36","PALAOB",3.5,0.165646258503402,14.1371669411541,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,0,0,0.785398163397448,0
"A2","2011","A2T40","GIRONE",2,0,14.1371669411541,1.32732289614169,0,85.3020945265969,0,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T42","GARCPA",2.2,0.662585034013605,14.1371669411541,1.32732289614169,0,81.5007674157532,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T44","ARCHCL",1.4,0,12.5977865408951,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T49","ARCHCL",1.3,0.0828231292517006,12.8098440450124,1.32732289614169,0,85.3020945265969,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2011","A2T52","GARCPA",7.6,0,14.1371669411541,1.32732289614169,0,39.9374966087602,3.14159265358979,0,2857.1135848256,9.62112750161874,0,0.785398163397448,0
"A2","2012","A2T01","ARCHCL",1.1,0,13.5638262818739,2.11272105953914,0,73.568245965439,3.14159265358979,0,3255.71886071308,10.7521008569111,0,0.785398163397448,0
"A2","2012","A2T02","ARCHCL",1.2,0.237947882736156,13.3831847042925,2.11272105953914,0,73.568245965439,3.14159265358979,0,3255.71886071308,10.7521008569111,0,0.785398163397448,0
"A2","2012","A2T03","ARCHCL",1.2,0.118973941368078,13.3831847042925,2.11272105953914,0,73.568245965439,3.14159265358979,0,3255.71886071308,10.7521008569111,0,0.785398163397448,0
"A2","2012","A2T06","GARCPA",1.3,-0.118973941368078,14.5141580595848,2.11272105953914,0,72.2409230692973,3.14159265358979,0,3255.71886071308,10.7521008569111,0,0.785398163397448,0
